I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
No , you have been great . Thank you for all your help ! ||| Le , kont kbir . Grazzi tal għajnuna kollha tiegħek !
Thank you and be sure to use us for your future travel needs . ||| Grazzi u kun żgur li tużana għall bżonnijiet tal ivvjaġġar futuri tiegħek .
Hi , can you help me find a Caribbean restaurant to eat at on my upcoming visit ? ||| Hi , tista' tgħinni nsib restorant tal Karibew fejn niekol fiż żjara li ġejja ?
Oh no ! We don't have any Caribbean restaurants at the moment . Is there another type you'd like ? ||| Oh le ! M'għandniex ristoranti tal Karibew bħalissa . Hemm tip ieħor li tixtieq ?
Can you please look for an Italian food restaurant ? ||| Tista' jekk jogħġbok tfittex restorant tal ikel Taljan ?
We have quite a few Italian restaurants . Is there a particular part of the city in which you would like to dine ? ||| Għandna pjuttost ftit ristoranti Taljani . Hemm xi parti partikolari tal belt li fiha tixtieq tiekol ?
I'm looking for a italian place in the moderate price range . Can you suggest one and make reservations please ? ||| Qed infittex post Taljan fil firxa tal prezzijiet moderati . Tista' tissuġġerixxi waħda u tagħmel riżervi jekk jogħġbok ?
May I recommend Prezzo , it is located in the west and has a moderate price range . Is there a specific date , time and number of people ? ||| Mejju nirrakkomanda Prezzo , jinsab fil punent u għandu firxa ta 'prezzijiet moderata . Hemm data speċifika , ħin u numru ta nies ?
Yes , that sounds great , thank you . I want to book a table for 4 people at 15:15 on Wednesday . I'll also need a reference number . ||| Iva , dan ħsejjes kbir , grazzi . Irrid nibbukkja mejda għal 4 persuni fis 15:15 nhar l Erbgħa . Ikolli bżonn ukoll numru ta' referenza .
You have been booked at the Prezzo for Wednedsday at 15:15 for 4 people . Your reference number is KCV0WNR3 . Your table will be reserved for 15 minutes . Anything else ? ||| Ġejt ibbukkjat fil Prezzo għall Erbgħa fis 15:15 għal 4 persuni . In numru ta' referenza tiegħek huwa KCV0WNR3 . Il mejda tiegħek tkun riservata għal 15 il minuta . Xi ħaġa oħra ?
I also need a train going to cambridge and departing from birmingham new street . ||| Għandi bżonn ukoll ferrovija li tmur Cambridge u titlaq minn Birmingham new street .
What day will you need the train ? I have to narrow it down so I can better serve you . ||| Liema jum ser ikollok bżonn il ferrovija ? Ikolli naqqasha sabiex inkun nista' nservik aħjar .
Wednesday and needs to arrive by 12:00 . ||| L Erbgħa u jeħtieġ li tasal sa 12:00 .
i have tr5635 that might work for you . it leaves at 08:40 and arrives at 11:23 . can i book any tickets for you ? ||| għandi tr5635 li jista 'jaħdem għalik . jitlaq fit 08:40 u jasal fil 11:23 . nista nibbukkja xi biljetti għalik ?
No thank you . Could I get a price on those tickets though ? ||| Le grazzi . Nista 'nikseb prezz fuq dawk il biljetti għalkemm ?
Tickets will be 75 . 10 each . Is there anything else I can help you with ? ||| Il biljetti se jkunu 75 . 10 kull wieħed . Hemm xi ħaġa oħra li nista' ngħinek biha ?
can i also get the travel time please ? ||| nista 'nikseb ukoll il ħin tal ivvjaġġar jekk jogħġbok ?
The train will take 163 minutes to arrive at the station . ||| Il ferrovija se tieħu 163 minuta biex tasal fl istazzjon .
That is all I need today . Thank you for your help . ||| Dan huwa dak kollu li għandi bżonn illum . Grazzi tal għajnuna tiegħek .
You're welcome . Have a great day ! ||| Ta 'xejn . Il ġurnata t tajba !
I need a place to dine , and I'd like to know what's available so far as cheap Asian Oriental food . ||| Għandi bżonn post fejn niekol , u nixtieq inkun naf x'hemm disponibbli s'issa bħala ikel Orjentali Asjatiku irħis .
You must try dojo noodle bar in the centre of town ! Want a reservation ? ||| Trid tipprova dojo noodle bar fiċ ċentru tal belt ! Trid prenotazzjoni ?
I need to get the address please . ||| Għandi bżonn nikseb l indirizz jekk jogħġbok .
Sure thing . The address is 40210 Millers Yard City Centre . ||| Ħaġa żgur . L indirizz huwa 40210 Millers Yard City Centre .
Great . I also need a train . ||| Kbir . Għandi bżonn ukoll ferrovija .
Sure , I can help you with that . Where are you departing from ? ||| Żgur , nista 'ngħinek b'dan . Minn fejn titlaq ?
I am departing from ely to cambridge and I need to leave after 20:45 on tuesday . ||| Qed nitlaq minn Ely għal Cambridge u għandi nitlaq wara 20:45 nhar it Tlieta .
great , the TR1992 leaves at 21:35 . would that work for you ? ||| kbir , it TR1992 jitlaq f'21:35 . kieku dak jaħdem għalik ?
Yes , please book 5 seats for me . ||| Iva , jekk jogħġbok ibbukkja 5 siġġijiet għalija .
I will book the reservation now . ||| Se nibbukkja r riservazzjoni issa .
Okay thanks , I will need the reservation number . ||| Tajjeb grazzi , ser ikolli bżonn in numru tar riservazzjoni .
Booking was successful , the total fee is 22 GBP payable at the station . Reference number is : UAGCF8LW . Is there anything else I can help with ? ||| Il prenotazzjoni kienet ta' suċċess , it tariffa totali hija ta' 22 GBP pagabbli fl istazzjon . Numru ta' referenza huwa: UAGCF8LW . Hemm xi ħaġa oħra li nista' ngħin biha ?
Great no . That was it . Thank you . ||| Kbir le . Dak kien . Grazzi .
Happy to assist . Let me know if there is anything else you need . ||| Kuntent li jassistu . Let me know jekk hemmx xi ħaġa oħra li għandek bżonn .
No thanks again for all of your help ||| Le grazzi mill ġdid għall għajnuna kollha tiegħek
Okay , thank you and goodbye ! ||| Tajjeb , grazzi u addio !
I'm looking for a moderately priced restaurant in the Centre . ||| Qed infittex restorant bi prezz moderat fiċ Ċentru .
We have many option there . Any specific type of food ? ||| Għandna ħafna għażliet hemmhekk . Xi tip speċifiku ta' ikel ?
Yes , I would like asian oriental food . ||| Iva , nixtieq ikel orjentali ażjatiku .
There is one in the area , would you like a reservation ? ||| Hemm wieħed fiż żona , tixtieq prenotazzjoni ?
Yes please for 6 people at 12:30 on monday . ||| Iva jekk jogħġbok għal 6 persuni fit 12:30 tat Tnejn .
You have a table at yippee noodle bar . Your reference number is LJVY1UUN . Can I help you with anything else ? ||| Għandek mejda fil yippee noodle bar . In numru ta' referenza tiegħek huwa LJVY1UUN . Nista ngħinek b xi ħaġa oħra ?
Yes , thank you . Do you have many trains from Cambridge to Peterborough ? ||| Iva grazzi . Għandek ħafna ferroviji minn Cambridge għal Peterborough ?
On Mondays , there are 38 trains . When would you like to travel ? ||| Nhar it Tnejn , hemm 38 ferrovija . Meta tixtieq tivvjaġġa ?
I actually need to leave on Saturday , sometime after 18:45 . ||| Fil fatt għandi bżonn nitlaq nhar is Sibt , xi żmien wara s 18:45 .
There is one that leaves at 19:06 arriving at 19:56 for 13 . 20 pounds . Would you like me to book that for you ? ||| Hemm wieħed li jitlaq fis 19:06 u jasal fis 19:56 għal 13 . 20 liri . Tixtieq li nibbukkja dik għalik ?
Sure , please book 6 tickets for me and give me the reference number ||| Żgur , jekk jogħġbok ibbukkja 6 biljetti għalija u agħtini n numru ta' referenza
Booked , with reference number 5FFCTD31 . ||| Ibbukkjat , bin numru ta' referenza 5FFCTD31 .
Thank you , that is all I need today . ||| Grazzi , dak kollu li għandi bżonn illum .
Thank you for using our services . Enjoy your trip ! ||| Grazzi talli tuża s servizzi tagħna . Igawdu l vjaġġ tiegħek !
Thank you and have a good day . ||| Grazzi u gurnata t tajba .
You're welcome . ||| Ta 'xejn .
This is it . I do not need any more assistance . ||| Dan hu . M'għandix bżonn aktar għajnuna .
Happy to be of assistance . Goodbye ! ||| Ferħan li tkun ta' għajnuna . Addio !
I've got a particular restaurant we want to try , but I will need some help with it . ||| Għandi ristorant partikolari li rridu nippruvaw , imma se jkolli bżonn xi għajnuna miegħu .
I'd be happy to help , what is the name of the restaurant you want to try ? ||| Inkun kuntent li ngħin , x'jismu r ristorant li trid tipprova ?
I'm looking for a pizza hut city centre . ||| Qed infittex ċentru tal belt tal pizza hut .
I am familiar with it . It is on Regent Street . Do you need a reservation ? ||| Jien familjari magħha . Huwa fi Triq ir Regent . Għandek bżonn prenotazzjoni ?
Can I get the area of town and the price range pleas ? ||| Nista 'nikseb iż żona tal belt u l motivi tal firxa tal prezzijiet ?
It is inexpensive and located in the centre of town . ||| Huwa rħas u jinsab fiċ ċentru tal belt .
Can you find a train going to Cambridge that leaves after 19:45 ? ||| Tista' ssib ferrovija li tmur Cambridge li titlaq wara s 19:45 ?
of course ! do you know where you'll be departing from ? ||| Dażgur ! taf minn fejn ser titlaq ?
Yes , departing from stevenage on wednesday . How much will that cost ? ||| Iva , titlaq minn stevenage nhar l Erbgħa . Kemm se jiswa ?
The train ticket will cost 12 . 80 pounds . Can I book that for you ? ||| Il biljett tal ferrovija se jiswa 12 . 80 liri . Nista' nibbukkja dik għalik ?
No , thank you . That's all I need tonight . Thanks . ||| Le grazzi . Dak kollu li għandi bżonn illejla . Grazzi .
You are very welcome . ||| Int merħba ħafna .
Have a great day . Goodbye . ||| Il ġurnata t tajba . Adieu .
Thanks , have a great trip . Goodbye . ||| Grazzi , vjaġġ tajjeb . Adieu .
May have some information on a restaurant in town ? ||| Jista' jkollok xi informazzjoni dwar ristorant fil belt ?
What type of food would you like ? ||| X'tip ta' ikel tixtieq ?
I would like Italian food . ||| Nixtieq ikel Taljan .
What side of town and what price point ? ||| Liema naħa tal belt u liema punt tal prezz ?
cheap price range . Once you find the restaurant you want to book a table for 5 people at 12:15 on sunday and I need the reference number ||| firxa ta 'prezzijiet irħas . Ladarba ssib ir ristorant trid tibbukkja mejda għal 5 persuni f'12:15 nhar il Ħadd u għandi bżonn in numru ta' referenza
I have the list up , I want to make sure I didnt forget an area preference first , Do you have one ? ||| Għandi l lista up , irrid niżgura li ma nsejtx preferenza taż żona l ewwel , Għandek waħda ?
I would want something in the centre of town . ||| Nixtieq xi ħaġa fiċ ċentru tal belt .
I have several places are you preferring pasta or pizza ? ||| Għandi diversi postijiet qed tippreferi għaġin jew pizza ?
I would like pizza please . ||| Nixtieq pizza jekk jogħġbok .
Pizza hut city centre should be a great choice . They'll hold a table for you for 15 minutes . Your reference number is T66ZY8AM . ||| Iċ ċentru tal belt tal pizza hut għandu jkun għażla kbira . Huma ser iżommu mejda għalik għal 15 il minuta . In numru ta' referenza tiegħek huwa T66ZY8AM .
Thank you ! Can you help me find a train for Monday ? ||| Grazzi ! Tista tgħinni nsib ferrovija għat Tnejn ?
sure . where do you want to departure from ? ||| żgur . minn fejn trid titlaq ?
I will leave Cambridge and go to Kings Lynn . ||| Se nitlaq minn Cambridge u mmur Kings Lynn .
Can you tell me what time you would like to leave or arrive by ? ||| Tista' tgħidli f'liema ħin tixtieq titlaq jew tasal ?
I have to be there by 10:45 and I'll need the train ID , please . ||| Irrid inkun hemm sal 10:45 u jkolli bżonn l ID tal ferrovija , jekk jogħġbok .
train tr1163 will get you to kings lynn by 09:58 . ||| il ferrovija tr1163 twassalkom sa Kings Lynn sad 09:58 .
Thank you , that is all ||| Grazzi , dak huwa kollox
Thank you for using our system ! ||| Grazzi talli użajt is sistema tagħna !
Can I get some information on a train ? ||| Nista' nikseb xi informazzjoni fuq ferrovija ?
Sure , where is your destination ? ||| Żgur , fejn hi d destinazzjoni tiegħek ?
I'll be departing Cambridge , and heading to Broxbourne . ||| Jien ser nitlaq minn Cambridge , u sejjer Broxbourne .
What is the day of travel ? ||| X'inhu l jum tal ivvjaġġar ?
I need to leave on Monday . ||| Għandi bżonn nitlaq nhar it Tnejn .
Yes , there are 19 different trains . What time would you like to depart ? ||| Iva , hemm 19 il ferrovija differenti . X'ħin tixtieq titlaq ?
I just need to arrive by 16:15 . ||| Għandi bżonn biss nasal sa 16:15 .
train TR9022 departs at 15:01 and arrives at 16:01 . would you like me to make you a reservation ? ||| il ferrovija TR9022 titlaq fis 15:01 u tasal fis 16:01 . tixtieq li nagħmel inti prenotazzjoni ?
No thank you . What is the travel time ? ||| Le grazzi . X'inhu l ħin tal ivvjaġġar ?
Travel time is 60 minutes . What else can I do for you ? ||| Il ħin tal ivvjaġġar huwa ta' 60 minuta . X'iktar nista' nagħmel għalik ?
Yes , I'm also looking for a Chinese restaurant that's located in the North part of town . Could you find one for me please ? ||| Iva , qed infittex ukoll restorant Ċiniż li jinsab fit Tramuntana tal belt . Tista' ssib waħda għalija jekk jogħġbok ?
I found 3 chinese restaurants in the north area . Two are expensive price range and one is moderate . May I make a reservation for you ? ||| Sibt 3 ristoranti Ċiniżi fiż żona tat tramuntana . Tnejn huma firxa ta 'prezzijiet għaljin u waħda hija moderata . Nista' nagħmel riserva għalik ?
Hmm , doesn't matter . Can you reserve a table at your favorite one ? There will be 3 of us at 11:15 the day we arrive . ||| Hmm , ma jimpurtax . Tista' tirriserva mejda f'waħda favorita tiegħek ? Se nkunu 3 minna fil 11:15 dakinhar li naslu .
I have reserved you a table at The Hotpot , and the reference number is CLZSPXUK . Anything else for you today ? ||| Irriżervajjt mejda f'The Hotpot , u n numru ta' referenza huwa CLZSPXUK . Xi ħaġa oħra għalik illum ?
Thanks for helping me . The train and restaurant are all I need for now . Goodbye . ||| Grazzi talli għinni . Il ferrovija u r restorant huma kulma għandi bżonn għalissa . Adieu .
Thank you for calling . Goodbye . ||| Grazzi talli ċempilt . Adieu .
I need a train on Friday . ||| Għandi bżonn ferrovija nhar il Ġimgħa .
There are 404 trains traveling on Friday . Where will you be departing from and where is your destination ? ||| Hemm 404 ferrovija li jivvjaġġaw nhar il Ġimgħa . Minn fejn se titlaq u fejn hi d destinazzjoni tiegħek ?
I am leaving from Cambridge and going to Ely . I want to leave at 18:15 ||| Qed nitlaq minn Cambridge u mmur Ely . Irrid nitlaq fis 18:15
Train 6053 leaves cambridge at 19:50 and arrives in ely at 20:07 . Would you like me to book you a ticket ? ||| Il ferrovija 6053 titlaq minn cambridge fis 19:50 u tasal f'ely fl 20:07 . Tixtieq li nibbukkjalek biljett ?
Yes , please . I need 7 tickets . ||| Iva jekk jogħġbok . Għandi bżonn 7 biljetti .
I have made the booking and here is the information Booking was successful , the total fee is 30 . 8 GBP payable at the station . Reference number is : D9BVZV8C Anything else I can help you with ? ||| Għamilt il prenotazzjoni u hawnhekk hija l informazzjoni Ibbukkjar kien suċċess , il ħlas totali huwa 30 . 8 GBP pagabbli fl istazzjon . In numru ta' referenza huwa: D9BVZV8C Xi ħaġa oħra li nista' ngħinek biha ?
Someone recommended me a place called cafe uno . Do you have any information about it ? ||| Xi ħadd irrakkomandali post imsejjaħ cafe uno . Għandek xi informazzjoni dwarha ?
Caffe Uno is an Italian restaurant in the city centre . Would you like to make a reservation ? ||| Caffe Uno huwa ristorant Taljan fiċ ċentru tal belt . Tixtieq tagħmel riserva ?
Yes book it for me thank you ||| Iva ibbukkjah ghalija grazzi
What date and time would you like that reservation ? ||| Liema data u ħin tixtieq dik ir riservazzjoni ?
Actually , I can make it later . That will be all today . Thank you ! ||| Fil fatt , nista 'nagħmilha aktar tard . Dan se jkun kollox illum . Grazzi !
Please contact us anytime . Thank you . ||| Jekk jogħġbok ikkuntattjana ghaċ . Grazzi .
Hello , I am looking for a train that arrives by 16:00 and leaves on monday . ||| Hello , qed infittex ferrovija li tasal sas 16:00 u titlaq it Tnejn .
There are multiple trains available to you . Where are you departing from and what is your destination please ? ||| Hemm diversi ferroviji disponibbli għalik . Minn fejn titlaq u x'inhi d destinazzjoni tiegħek jekk jogħġbok ?
I want to broxbourne from cambridge . ||| Irrid broxbourne minn Cambridge .
We have trains leaving from 05:01 every hour until 14:01 that will get you to Broxbourne by 16:00 . What time would be more acceptable to you ? ||| Għandna ferroviji li jitilqu mill 05:01 kull siegħa sal 14:01 li jwassluk għal Broxbourne sas 16:00 . X'ħin ikun aktar aċċettabbli għalik ?
Once you find the train you want to make a booking for 1 people . Make sure you get the reference number ||| Ladarba ssib il ferrovija trid tagħmel prenotazzjoni għal 1 persuna . Kun żgur li tikseb in numru ta' referenza
The TR0796 train leaves Cambridge at 05:01 and arrives in Broxbourne 06:01 . The cost in 17 . 90 pounds . Is this a good train for you ? ||| Il ferrovija TR0796 titlaq minn Cambridge fil 05:01 u tasal fi Broxbourne fis 06:01 . L ispiża fi 17 . 90 liri . Din hija ferrovija tajba għalik ?
Yes please . Please book a ticket for one person . ||| Iva jekk jogħġbok . Jekk jogħġbok ibbukkja biljett għal persuna waħda .
The booking was successful your reference number is XUKSDFW4 . Is there anything I can help with today ? ||| Il prenotazzjoni kienet ta' suċċess in numru ta' referenza tiegħek huwa XUKSDFW4 . Hemm xi ħaġa li nista' ngħin biha llum ?
Yes . I would like a restaurant for the same day . The name is Travellers rest . ||| Iva . Nixtieq ristorant għall istess jum . L isem huwa Travelers mistrieħ .
Travellers restaurant is an expensive british restaurant in the west part of town . Is there anything else I can do for you ? ||| Travelers restaurant huwa restorant Ingliż għali fil parti tal punent tal belt . Hemm xi ħaġa oħra li nista' nagħmel għalik ?
Can you book that restaurant for me , for one person at 13:00 ? ||| Tista' tibbukkja dak ir restorant għalija , għal persuna waħda fis 13:00 ?
Booking was successful . The table will be reserved for 15 minutes . Your reference number is : RYE38VWC . Can I do anything else for you today ? ||| Il prenotazzjoni kienet suċċess . Il mejda tkun riservata għal 15 il minuta . In numru ta' referenza tiegħek huwa: RYE38VWC . Nista nagħmel xi ħaġa oħra għalik illum ?
That is all that I need . Thank you . ||| Dan huwa dak kollu li għandi bżonn . Grazzi .
Thank you so much for calling Cambridge TownInfo centre ! We hope you enjoy your time in our city ! ||| Grazzi ħafna talli ċempel iċ ċentru ta' Cambridge TownInfo ! Nittamaw li tgawdi l ħin tiegħek fil belt tagħna !
I am looking for a dining place that serves Indian food . ||| Qed infittex post tal ikel li jservi ikel Indjan .
There are many Indian restaurants . What price range do you prefer ? ||| Hemm ħafna ristoranti Indjani . X'firxa ta' prezzijiet tippreferi ?
Expensive would be great . ||| Għali jkun kbir .
I found 14 that would meet your needs . What about curry garden ? It is located at 106 Regent Street City Centre ||| Sibt 14 li jissodisfaw il bżonnijiet tiegħek . Xi ngħidu dwar il ġnien tal curry ? Hija tinsab f'106 Regent Street City Center
That sounds great . Please make me a reservation for 6 at 13:15 on Friday ||| Dan ħsejjes kbir . Jekk jogħġbok agħmel prenotazzjoni għal 6 f'13:15 nhar il Ġimgħa
How many people ? ||| Kemm nies ?
I already told you how many people . are you paying attention ? ||| Diġà għedtilkom kemm hemm nies . qed tagħti kas ?
sorry was trying to confirm . i have booked cocum and Reference number is : A5L2T8SV . ||| sorry kien qed jipprova jikkonferma . I bbukkejt cocum u n numru ta 'referenza huwa: A5L2T8SV .
Wait , is that curry garden or a different restaurant you've booked for me ? ||| Stenna , dak il ġnien tal curry jew restorant differenti li bbukkejt għalija ?
no i booked cocum . is that fine ? ||| le bbukkejt cocum . hija tajba ?
I Cocum an Indian restaurant ? We didn't discuss Cocum at all . ||| I Cocum restorant Indjan ? Ma ddiskutejna lil Cocum xejn .
I changed the restaurant and booked for you . Your new Reference number is : SEFVWPRB . ||| Bdilt ir ristorant u bbukkejt għalik . In numru ta' Referenza l ġdid tiegħek huwa: SEFVWPRB .
I also looking for a train . The train should go to cambridge and should depart from stansted airport . ||| Jien infittex ukoll ferrovija . Il ferrovija għandha tmur Cambridge u għandha titlaq mill ajruport ta' Stansted .
On what day do you need to travel ? ||| F'liema jum għandek bżonn tivvjaġġa ?
I need to the train on Friday and I need to arrive by 8:00 . ||| Għandi bżonn il ferrovija nhar il Ġimgħa u għandi bżonn nasal sat 8:00 .
I have TR6416 that will get you to Cambridge by 07:52 . Do you need any tickets today ? ||| Għandi TR6416 li jwassalkom sa Cambridge sas 07:52 . Għandek bżonn xi biljetti llum ?
I don't need to book now . I would like the ticket price , please . ||| M'għandix bżonn nibbukkja issa . Nixtieq il prezz tal biljett , jekk jogħġbok .
The price per ticket is 10 . 10 pounds . ||| Il prezz għal kull biljett huwa 10 . 10 liri .
That's all I need . ||| Dak kollu li għandi bżonn .
May I assist you with anything else today ? ||| Nista ngħinek b xi ħaġa oħra llum ?
No thank you that will be all ||| Le grazzi li se jkun kollox
Thank you for calling . I hope you enjoy your trip . Goodbye ! ||| Grazzi talli ċempilt . Nispera li tgawdi l vjaġġ tiegħek . Addio !
I want a place to dine in the south that is expensive . ||| Irrid post fejn niekol fin nofsinhar li jiswa ħafna flus .
We have several options that include Chinese , Indian , Italian , and Mexican . Which one do you prefer ? ||| Għandna diversi għażliet li jinkludu Ċiniż , Indjan , Taljan , u Messikan . Liema waħda tippreferi ?
I'm looking for a restaurant serves traditional food . Are there any nearby ? ||| Qed infittex ristorant li jservi ikel tradizzjonali . Hemm xi fil qrib ?
There are no restaurants in the south serving traditional food . Would you prefer something different ? ||| M'hemm l ebda ristoranti fin nofsinhar li jservu ikel tradizzjonali . Tippreferi xi ħaġa differenti ?
How about Mexican food ? Can you check on that for me ? ||| Kif dwar l ikel Messikan ? Tista 'tiċċekkja fuq dan għalija ?
Sure ! We have the Chiquito Restaurant Bar located in the south serving Mexican food . Would you like to make a reservation ? ||| Żgur ! Għandna l Chiquito Restaurant Bar li jinsab fin nofsinhar li jservi ikel Messikan . Tixtieq tagħmel riserva ?
Yes please . I need reservation for 6 people at 1400 on wednesday . ||| Iva jekk jogħġbok . Għandi bżonn prenotazzjoni għal 6 persuni fl 1400 nhar l Erbgħa .
I have a table for 6 reserved for you on Wednesday at 14:00 . They will hold the table for 15 minutes . Your reference number is DKBLDY07 ||| Għandi mejda għal 6 riservata għalik l Erbgħa fis 14:00 . Huma se jżommu l mejda għal 15 il minuta . In numru ta' referenza tiegħek huwa DKBLDY07
Thanks . I also need to find a train for Thursday . ||| Grazzi . Għandi bżonn ukoll insib ferrovija għall Ħamis .
OK , what are your departure and arrival stations , and what time of day would you like to travel ? ||| OK , x'inhuma l istazzjonijiet tat tluq u tal wasla tiegħek , u liema ħin tal ġurnata tixtieq tivvjaġġa ?
It should leave after 15:45 on thursday . ||| Għandu jitlaq wara 15:45 tal Ħamis .
Sure , which stations will you be departing from and arriving to ? ||| Żgur , minn liema stazzjonijiet se tkun qed titlaq u tasal għalihom ?
I am departing from cambridge and arriving in london kings cross . ||| Qed nitlaq minn Cambridge u nasal f'London Kings Cross .
Ok , leaving after 15:45 on thursday we have Train TR1791 from cambridge to london kings cross leaving at 17:00 and arriving at 17:51 . Shall I book it , if so for how many ? ||| Ok , nitilqu wara s 15:45 tal Ħamis għandna l Ferrovija TR1791 minn Cambridge għal London Kings Cross li titlaq fis 17:00 u tasal fis 17:51 . Għandi nibbukkjaha , jekk iva għal kemm ?
That will work . For six people as well . Please make sure I receive the reference number . ||| Dak se jaħdem . Għal sitt persuni wkoll . Jekk jogħġbok kun żgur li nirċievi n numru ta' referenza .
Booking was successful , the total fee is 141 . 6 GBP payable at the station . Reference number is : V1YVJYN8 . Can I help with anything else today ? ||| Il prenotazzjoni kienet ta' suċċess , it tariffa totali hija ta' 141 . 6 GBP pagabbli fl istazzjon . In numru ta' referenza huwa: V1YVJYN8 . Nista ngħin f xi ħaġa oħra llum ?
That's all I need for today , thanks for your help ! ||| Dak kollu li għandi bżonn għal lum , grazzi tal għajnuna tiegħek !
Goodbye , enjoy the rest of your day . ||| Addio , gawdi l bqija tal ġurnata tiegħek .
I need a train leaving London King's Cross after 14:45 . ||| Għandi bżonn ferrovija li titlaq minn London King's Cross wara 14:45 .
I would be happy to help you book a train . In order to better help you , can you tell me what day you are looking to depart ? ||| Inkun kuntent li ngħinek tibbukkja ferrovija . Sabiex ngħinek aħjar , tista tgħidli f liema jum qed tfittex li titlaq ?
I want to depart on Friday . ||| Irrid nitlaq nhar il Ġimgħa .
There is a train leaving at 15:17 on Friday . ||| Hemm ferrovija li titlaq fil 15:17 nhar il Ġimgħa .
I actually need a train going to London Kings Cross leaving Cambridge after 14:45 . For six people . ||| Fil fatt għandi bżonn ferrovija li tmur Londra Kings Cross titlaq minn Cambridge wara 14:45 . Għal sitt persuni .
There is a train that leaves at 15:00 that has 6 tickets available , shall I book it for you ? ||| Hemm ferrovija li titlaq fis 15:00 li għandha 6 biljetti disponibbli , għandi nibbukkjaha għalik ?
Please book tickets and provide me with the total cost of tickets and confirmation number . ||| Jekk jogħġbok ibbukkja l biljetti u agħtini l ispiża totali tal biljetti u n numru tal konferma .
It has been booked ! Your reference number is AQ95F0XH . The cost is 141 . 6 GBP . Do you need anything else ? ||| Ġie bbukkjat ! In numru ta' referenza tiegħek huwa AQ95F0XH . L ispiża hija 141 . 6 GBP . Għandek bżonn xi ħaġa oħra ?
Looking for a Chinese restaurant in the center with a moderate price range . ||| Qed tfittex restorant Ċiniż fiċ ċentru b'firxa ta 'prezzijiet moderata .
Jinling Noodle bar , lan hong house and shanghai family restaurant are all in the centre area . Would you like a table at one of these ? ||| Jinling Noodle bar , lan hong house u ristorant tal familja ta 'Shanghai huma kollha fiż żona taċ ċentru . Tixtieq mejda f'waħda minn dawn ?
Can you recommend one and give me the phone number ? ||| Tista' tirrakkomanda waħda u tagħtini n numru tat telefon ?
01223566188 Jinling noodle bar . Anything else ? ||| 01223566188 Jinling noodle bar . Xi ħaġa oħra ?
No , that is all I need today . Thanks . Goodbye . ||| Le , dak kollu li għandi bżonn illum . Grazzi . Adieu .
Have a great evening ! ||| Il lejla t tajba !
I'd like to take a train from Cambridge on Sunday . Can you please show me the times ? ||| Nixtieq nieħu ferrovija minn Cambridge nhar il Ħadd . Tista' jekk jogħġbok urini l ħinijiet ?
What is your destination ? ||| X'inhi d destinazzjoni tiegħek ?
I am going to london kings cross , and would like to arrive by 15:15 . ||| Jien se naqsam il London Kings , u nixtieq nasal sal 15:15 .
TR7447 will get you there by 13:51 . Do you need some seats booked ? ||| TR7447 iwassalk hemm sa 13:51 . Għandek bżonn xi siġġijiet ibbukkjati ?
Yes . Can you please book 2 seats ? ||| Iva . Tista' jekk jogħġbok tibbukkja 2 siġġijiet ?
Your booking was successful . Your total fee is 37 . 76 payable at the station . Your reference number is JVHB4V3C . Is there anything else we can do to assist you ? ||| Il prenotazzjoni tiegħek kienet ta' suċċess . It tariffa totali tiegħek hija 37 . 76 pagabbli fl istazzjon . In numru ta' referenza tiegħek huwa JVHB4V3C . Hemm xi ħaġa oħra li nistgħu nagħmlu biex ngħinuk ?
I am also looking for a restaurant in the centre of town . I'd like it to be moderate price range , please . ||| Qed infittex ukoll restorant fiċ ċentru tal belt . Nixtieq li tkun firxa ta' prezzijiet moderata , jekk jogħġbok .
There are many wonderful restaurants in the centre , do you have a cuisine in mind ? ||| Hemm ħafna ristoranti mill isbaħ fiċ ċentru , għandek kċina f'moħħok ?
Not really , pick something tasty for us and book a table , please ! 11:15 on that same day , same group . ||| Mhux tassew , agħżel xi ħaġa fit togħma għalina u bbukkja mejda , jekk jogħġbok ! 11:15 dakinhar stess , istess grupp .
I booked you a table at ali baba , a lebanese restaurant . Your reference number is 8V419UNN . Do you need anything else ? ||| I bbukkejtlek mejda f'ali baba , ristorant Lebaniż . In numru ta' referenza tiegħek huwa 8V419UNN . Għandek bżonn xi ħaġa oħra ?
No , that is all for now . Thank you for your help . goodbye ||| Le , dan huwa kollox għalissa . Grazzi tal għajnuna tiegħek . addiju
Thank you for using our system . ||| Grazzi talli użajt is sistema tagħna .
I'd like some info on a restaurant , in the centre . ||| Nixtieq xi informazzjoni dwar restorant , fiċ ċentru .
There are many great restaurants in the Centre . Is there a certain type of food you would like to have ? ||| Hemm ħafna ristoranti kbar fiċ Ċentru . Hemm ċertu tip ta' ikel li tixtieq ikollok ?
What do you have that is expensive ? ||| X'għandek li jiswa ħafna flus ?
Yes , there are many . Would you be interested in trying British cuisine ? Or African ? ||| Iva , hemm ħafna . Tkun interessat li tipprova l kċina Brittanika ? Jew Afrikan ?
British cuisine is fine . Can you suggest a restaurant ? ||| Il kċina Brittanika hija tajba . Tista' tissuġġerixxi restorant ?
